job_id,company_name,title,description,max_salary,pay_period,location,company_id,views,med_salary,min_salary,formatted_work_type,applies,original_listed_time,remote_allowed,job_posting_url,application_url,application_type,expiry,closed_time,formatted_experience_level,skills_desc,listed_time,posting_domain,sponsored,work_type,currency,compensation_type,normalized_salary,zip_code,fips,source,company,salary_min,salary_max,country_code,extracted_skills,avg_salary
,,"Associate Director, Content Marketing","Title: Associate Director, Content Marketing Department: Marketing Reporting to: Senior Director, Business Development & Marketing Location: Remote - Canada (Candidates based in British Columbia, Alberta, Manitoba, Saskatchewan, Ontario, Nova Scotia, or willing to relocate) Compensation: $102K - $130K CAD Who We Are: World Education Services (WES) is a non-profit social enterprise that supports the educational, economic, and social inclusion of immigrants, refugees, and international students. …",,,"Toronto Dominion Centre, City of Toronto",,,,,,,,,,,,,,,,,,,,,,,,,adzuna_ca,World Education Services,102000.0,130000.0,ca,[],116000.0
,,Senior Marketing Data Scientist / BI Reporting Analyst,"Description and Requirements Work Location: Hybrid Position Type: Contract, 12 months (potential for extension) Location: Toronto, ON, Canada Compensation Range: $50-56 per hour CAD Our Fortune 500 client is seeking a BI Reporting Analyst. We're looking for a Senior Marketing Data Scientist to help transform how we measure, optimize, and scale marketing investments across the customer lifecycle. In this role, you'll partner closely with Marketing, Product, Finance, Data Engineering, and Analyti…",,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,adzuna_ca,Wilson,104000.0,116480.0,ca,[],110240.0
,,Data Analyst,"Mennonite Economic Development Associates (MEDA) invites applications for a Data Analyst to join our dedicated and talented team in our mission to create business solutions to poverty! MEDA’s work is built on a foundation of Mennonite business roots and faith-based values, within the global context of the UN Sustainable Development Goals. We believe business solutions are effective interventions to address poverty. Through a market-systems approach and strategic partnerships, MEDA enables acces…",,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,adzuna_ca,MEDA,58050.0,72550.0,ca,[],65300.0
,,Data Analyst,"Location: Vancouver / Toronto / Remote in Canada | Employment Type: Full-time | Reports to: Senior Data Analyst, Team Lead Reporting to Senior Data Analyst, Team Lead, we’re looking for a curious and collaborative Data Analyst (Survey Tabulations) to join Reach3 Insights. In this role, you’ll help turn survey data into accurate, decision-ready cross-tabulations, working with smart, kind people who love turning human insights into clear stories, stronger decisions, and better customer experience…",,,"Vancouver, Greater Vancouver",,,,,,,,,,,,,,,,,,,,,,,,,adzuna_ca,Reach3 Insights,65000.0,85000.0,ca,[],75000.0
,,Data Analyst,"Location: London, ON | Hybrid/Remote | StarTech.com StarTech.com is continuing to grow our Data Analytics team and we are looking for a Data Analyst who is passionate about turning data into actionable insights. In this role, you will partner closely with cross functional teams to analyze data across key areas of the business, including product performance, inventory, revenue, customer insights, and marketing. Your work will help shape business decisions, optimize performance, and support conti…",,,"London, Middlesex",,,,,,,,,,,,,,,,,,,,,,,,,adzuna_ca,StarTech.com,68000.0,78000.0,ca,[],73000.0
,,Data Analyst,"Who We Are Konrad is a next-generation digital consultancy. We are dedicated to solving complex business problems for our global clients with creative and forward-thinking solutions. Our employees enjoy a culture built on innovation and a commitment to creating best-in-class digital products in use by hundreds of millions of consumers around the world. We hire exceptionally smart, analytical, and hard-working people who are lifelong learners. About The Role This role sits on our Digital team, w…",,,"Toronto, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,adzuna_ca,Konrad,75000.0,100000.0,ca,[],87500.0
,,Data Analyst,"About Us A profitable, family-run, growing group of companies in the Industrial Packaging and Distribution space. Proudly Canadian and entrepreneurial, with multiple divisions. We serve customers across North America, with core operations and leadership based in Canada. With 60 employees and a tightly run finance team, we’re scaling while maintaining a practical, no-politics, get-it-done culture. How We Work Data should drive decisions, not sit in dashboards. This role works across Finance, Sal…",,,"Toronto, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,adzuna_ca,Acquird.io,70000.0,80000.0,ca,[],75000.0
,,Data Analyst,"Hello, I'm Robin, recruitment and business development consultant at FED IT, a recruitment agency specializing in IT professions. I work on two types of recruitment: temporary and permanent. All our consultants are IT experts who speak your language and work in your environment. We cover the IT, development, business intelligence and infrastructure professions. Hello, I'm Robin, recruitment and business development consultant at FED IT, a recruitment agency specializing in IT professions. I wor…",,,"Montréal, Québec",,,,,,,,,,,,,,,,,,,,,,,,,adzuna_ca,Fed Group,70000.0,95000.0,ca,[],82500.0
,,Data Analyst,"Interested in joining one of Canada's top performing asset managers? We are looking for a Data Analyst to join our Enterprise Data Solutions team. In this role, you'll help build integrated, reliable, and scalable data solutions that support business decision-making across the organization. Working with enterprise platforms such as Salesforce, Greenhouse, and Dayforce, you'll collaborate with business and technology partners to analyze data, support system integrations, improve data quality, an…",,,"Greater Vancouver, British Columbia",,,,,,,,,,,,,,,,,,,,,,,,,adzuna_ca,"Connor, Clark & Lunn Financial Group",110000.0,130000.0,ca,['CRM'],120000.0
,,Data Analyst,"At CI, we see a great place to work as one that is a safe place for everyone to have a voice, where people are empowered to take ownership over meaningful work, where there is an opportunity to grow through stretching themselves, where they can work on innovative products and projects, and where employees are supported and engaged in doing so. We are currently seeking a Data Analyst to join the Data Solutions team in the Wealth Technology group at CI Wealth. The Data Solutions team focuses on d…",,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,adzuna_ca,CI Financial,55000.0,95000.0,ca,[],75000.0
